Date,Gen Guide Bearing Temp,Gen Thrust Bearing Temperature
26/1/2019,73,70
27/1/2019,72,69
28/1/2019,72,70
29/1/2019,73,70
30/1/2019,73,70
31/1/2019,73,69
1/2/2019,72,69
2/2/2019,73,70
3/2/2019,73,69
4/2/2019,73,69
5/2/2019,73,70
6/2/2019,73,69
7/2/2019,73,70
8/2/2019,73,69
9/2/2019,73,69
10/2/2019,72,70
11/2/2019,72,70
12/2/2019,73,70
13/2/2019,73,70
14/2/2019,73,69
15/2/2019,73,70
16/2/2019,73,69
17/2/2019,73,69
18/2/2019,73,69
19/2/2019,73,69
20/2/2019,73,71
21/2/2019,73,71
22/2/2019,73,70
23/2/2019,73,70
24/2/2019,73,70
25/2/2019,74,71
26/2/2019,72,70
27/2/2019,73,70
28/2/2019,73,71
1/3/2019,74,70
2/3/2019,73,71
3/3/2019,73,71
4/3/2019,73,70
5/3/2019,73,70
6/3/2019,73,70
7/3/2019,74,70
8/3/2019,73,71
9/3/2019,73,70
10/3/2019,71,68
11/3/2019,73,68
12/3/2019,74,70
13/3/2019,74,68
14/3/2019,74,70
15/3/2019,74,70
16/3/2019,74,73
17/3/2019,69,71
18/3/2019,73,69
19/3/2019,74,71
20/3/2019,74,70
21/3/2019,74,71
22/3/2019,74,71
23/3/2019,75,69
24/3/2019,74,71
25/3/2019,75,70
26/3/2019,75,71
27/3/2019,75,71
28/3/2019,75,71
29/3/2019,75,69
30/3/2019,74,71
31/3/2019,74,69
1/4/2019,74,69
2/4/2019,74,71
3/4/2019,74,69
4/4/2019,74,69
5/4/2019,74,70
6/4/2019,73,70
7/4/2019,0,0
8/4/2019,0,0
9/4/2019,73,70
10/4/2019,74,71
11/4/2019,74,70
12/4/2019,75,70
13/4/2019,75,71
14/4/2019,75,71
15/4/2019,75,72
16/4/2019,74,72
17/4/2019,74,72
18/4/2019,75,71
19/4/2019,75,71
20/4/2019,75,70
21/4/2019,75,72
22/4/2019,76,70
23/4/2019,76,72
24/4/2019,77,72
25/4/2019,77,72
26/4/2019,73,66
27/4/2019,73,66
28/4/2019,73,66
29/4/2019,75,70
30/4/2019,75,68
1/5/2019,75,68
2/5/2019,75,69
3/5/2019,75,69
4/5/2019,75,69
5/5/2019,75,69
6/5/2019,76,72
7/5/2019,76,73
8/5/2019,76,70
9/5/2019,77,74
10/5/2019,,
11/5/2019,75,72
12/5/2019,77,71
13/5/2019,75,73
14/5/2019,75,71
15/5/2019,75,71
16/5/2019,76,71
17/5/2019,76,71
18/5/2019,76,71
19/5/2019,,
20/5/2019,,
21/5/2019,,
22/5/2019,,
23/5/2019,77,73
24/5/2019,77,73
25/5/2019,76,71
26/5/2019,76,71
27/5/2019,76,73
28/5/2019,77,72
29/5/2019,77,73
30/5/2019,,
31/5/2019,,
1/6/2019,77,73
2/6/2019,,
3/6/2019,,
4/6/2019,,
5/6/2019,,
6/6/2019,75,71
7/6/2019,77,74
8/6/2019,77,73
9/6/2019,,
10/6/2019,77,73
11/6/2019,78,72
12/6/2019,78,72
13/6/2019,78,74
14/6/2019,70,69
15/6/2019,75,71
16/6/2019,76,72
17/6/2019,74,71
18/6/2019,75,73
19/6/2019,76,73
20/6/2019,,
21/6/2019,,
22/6/2019,,
23/6/2019,77,73
24/6/2019,77,74
25/6/2019,77,71
26/6/2019,77,73
27/6/2019,77,73
28/6/2019,,
29/6/2019,77,73
30/6/2019,,
1/7/2019,78,73
2/7/2019,79,73
3/7/2019,78,75
4/7/2019,77,73
5/7/2019,76,73
6/7/2019,77,74
7/7/2019,76,74
8/7/2019,,
9/7/2019,72,75
10/7/2019,77,72
11/7/2019,78,74
12/7/2019,,
13/7/2019,,
14/7/2019,,
15/7/2019,,
16/7/2019,,
17/7/2019,,
18/7/2019,,
19/7/2019,,
20/7/2019,,
21/7/2019,,
22/7/2019,77,74
23/7/2019,,
24/7/2019,78,74
25/7/2019,,
26/7/2019,74,70
27/7/2019,70,63
28/7/2019,72,66
29/7/2019,72,66
30/7/2019,70,73
31/7/2019,77,72
1/8/2019,77,72
2/8/2019,77,71
3/8/2019,71,67
4/8/2019,74,69
5/8/2019,,
6/8/2019,,
7/8/2019,,
8/8/2019,,
9/8/2019,70,68
10/8/2019,70,68
11/8/2019,,
12/8/2019,,
13/8/2019,,
14/8/2019,72,69
15/8/2019,,
16/8/2019,,
17/8/2019,,
18/8/2019,77,70
19/8/2019,77,71
20/8/2019,,
21/8/2019,61,61
22/8/2019,77,71
23/8/2019,78,71
24/8/2019,78,71
25/8/2019,,
26/8/2019,,
27/8/2019,,
28/8/2019,,
29/8/2019,69,63
30/8/2019,67,62
31/8/2019,,
1/9/2019,,
2/9/2019,,
3/9/2019,75,70
4/9/2019,77,70
5/9/2019,,
6/9/2019,,
7/9/2019,74,66
8/9/2019,74,68
9/9/2019,76,68
10/9/2019,,
11/9/2019,,
12/9/2019,,
13/9/2019,,
14/9/2019,70,66
15/9/2019,71,64
16/9/2019,76,70
17/9/2019,77,69
18/9/2019,76,69
19/9/2019,70,63
20/9/2019,74,68
21/9/2019,73,67
22/9/2019,76,68
23/9/2019,75,67
24/9/2019,75,70
25/9/2019,76,68
26/9/2019,76,68
27/9/2019,76,67
28/9/2019,,
29/9/2019,,
30/9/2019,75,68
1/10/2019,,
2/10/2019,,
3/10/2019,,
4/10/2019,,
5/10/2019,,
6/10/2019,72,67
7/10/2019,75,69
8/10/2019,,
9/10/2019,,
10/10/2019,,
11/10/2019,76,68
12/10/2019,76,68
13/10/2019,66,65
14/10/2019,76,68
15/10/2019,,
16/10/2019,72,64
17/10/2019,75,69
18/10/2019,72,67
19/10/2019,76,70
20/10/2019,77,70
21/10/2019,77,70
22/10/2019,,
23/10/2019,,
24/10/2019,76,70
25/10/2019,75,68
26/10/2019,77,68
27/10/2019,,
28/10/2019,,
29/10/2019,75,68
30/10/2019,77,68
31/10/2019,,
1/11/2019,,
2/11/2019,,
3/11/2019,,
4/11/2019,75,70
5/11/2019,,
6/11/2019,,
7/11/2019,,
8/11/2019,,
9/11/2019,,
10/11/2019,75,68
11/11/2019,77,70
12/11/2019,76,68
13/11/2019,68,73
14/11/2019,76,71
15/11/2019,77,69
16/11/2019,77,69
17/11/2019,,
18/11/2019,,
19/11/2019,,
20/11/2019,73,68
21/11/2019,74,68
22/11/2019,76,70
23/11/2019,76,75
24/11/2019,,
25/11/2019,76,68
26/11/2019,,
27/11/2019,,
28/11/2019,,
29/11/2019,,
30/11/2019,,
1/12/2019,,
2/12/2019,,
3/12/2019,,
4/12/2019,,
5/12/2019,,
6/12/2019,,
7/12/2019,,
8/12/2019,,
9/12/2019,,
10/12/2019,,
11/12/2019,,
12/12/2019,,
13/12/2019,,
14/12/2019,,
15/12/2019,,
16/12/2019,,
17/12/2019,,
18/12/2019,,
19/12/2019,,
20/12/2019,,
21/12/2019,,
22/12/2019,,
23/12/2019,,
24/12/2019,,
25/12/2019,,
26/12/2019,,
